n_0,n_1,n_2,n_3,target
83,84,84,81,79
84,84,81,79,81
84,81,79,81,83
81,79,81,83,84
79,81,83,84,83
81,83,84,83,84
83,84,83,84,83
84,83,84,83,84
83,84,83,84,83
84,83,84,83,84
83,84,83,84,83
84,83,84,83,81
83,84,83,81,79
84,83,81,79,76
83,81,79,76,77
81,79,76,77,76
79,76,77,76,77
76,77,76,77,81
77,76,77,81,83
76,77,81,83,81
77,81,83,81,79
81,83,81,79,76
83,81,79,76,79
81,79,76,79,76
79,76,79,76,79
76,79,76,79,77
79,76,79,77,79
76,79,77,79,81
79,77,79,81,77
77,79,81,77,76
79,81,77,76,77
81,77,76,77,76
77,76,77,76,77
76,77,76,77,81
77,76,77,81,79
76,77,81,79,81
77,81,79,81,83
81,79,81,83,84
79,81,83,84,84
81,83,84,84,83
83,84,84,83,79
84,84,83,79,81
84,83,79,81,77
83,79,81,77,74
79,81,77,74,77
81,77,74,77,79
77,74,77,79,83
74,77,79,83,84
77,79,83,84,84
79,83,84,84,81
83,84,84,81,83
84,84,81,83,84
84,81,83,84,83
81,83,84,83,81
83,84,83,81,84
84,83,81,84,83
83,81,84,83,84
81,84,83,84,81
84,83,84,81,79
83,84,81,79,81
84,81,79,81,79
81,79,81,79,77
79,81,79,77,76
81,79,77,76,77
79,77,76,77,79
77,76,77,79,76
76,77,79,76,72
77,79,76,72,71
79,76,72,71,72
76,72,71,72,74
72,71,72,74,71
71,72,74,71,69
72,74,71,69,71
74,71,69,71,69
71,69,71,69,72
69,71,69,72,69
69,71,69,71,72
71,69,71,72,74
69,71,72,74,72
71,72,74,72,74
72,74,72,74,71
74,72,74,71,72
72,74,71,72,74
74,71,72,74,72
71,72,74,72,74
72,74,72,74,72
74,72,74,72,71
72,74,72,71,69
74,72,71,69,67
72,71,69,67,65
71,69,67,65,62
69,67,65,62,64
67,65,62,64,67
65,62,64,67,65
62,64,67,65,67
64,67,65,67,64
67,65,67,64,60
65,67,64,60,64
67,64,60,64,62
64,60,64,62,60
60,64,62,60,60
64,62,60,60,60
62,60,60,60,64
60,60,60,64,65
60,60,64,65,69
60,64,65,69,71
64,65,69,71,74
65,69,71,74,76
69,71,74,76,74
71,74,76,74,76
74,76,74,76,74
76,74,76,74,72
74,76,74,72,76
76,74,72,76,77
74,72,76,77,79
72,76,77,79,81
76,77,79,81,79
77,79,81,79,81
79,81,79,81,83
81,79,81,83,84
79,81,83,84,84
81,83,84,84,84
83,84,84,84,83
84,84,84,83,79
84,84,83,79,77
84,83,79,77,79
83,79,77,79,76
79,77,79,76,77
77,79,76,77,79
79,76,77,79,83
76,77,79,83,81
77,79,83,81,79
79,83,81,79,77
83,81,79,77,74
81,79,77,74,77
79,77,74,77,76
77,74,77,76,72
74,77,76,72,76
77,76,72,76,74
76,72,76,74,72
72,76,74,72,71
76,74,72,71,69
74,72,71,69,71
72,71,69,71,67
71,69,71,67,64
69,71,67,64,62
71,67,64,62,65
67,64,62,65,64
64,62,65,64,60
62,65,64,60,62
65,64,60,62,65
64,60,62,65,67
77,74,71,67,71
74,71,67,71,69
71,67,71,69,71
67,71,69,71,72
71,69,71,72,69
69,71,72,69,71
71,72,69,71,67
72,69,71,67,65
69,71,67,65,62
71,67,65,62,60
67,65,62,60,62
65,62,60,62,60
62,60,62,60,60
60,62,60,60,60
62,60,60,60,64
60,60,60,64,60
60,60,64,60,62
60,64,60,62,60
64,60,62,60,64
60,62,60,64,60
62,60,64,60,64
60,64,60,64,60
64,60,64,60,62
60,64,60,62,64
64,60,62,64,65
60,62,64,65,62
62,64,65,62,60
64,65,62,60,60
65,62,60,60,60
62,60,60,60,60
60,60,60,60,64
60,60,60,64,62
60,60,64,62,60
60,64,62,60,62
64,62,60,62,60
62,60,62,60,60
60,62,60,60,62
62,60,60,62,64
60,60,62,64,60
60,62,64,60,62
62,64,60,62,60
